Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,0.585,0.064,0.128,0.02,0.015,0.188,1
Alabama,0.569,0.064,0.12,0.036,0.022,0.19,1
Alaska,0.55,0.035,0.118,N/A,0.05,0.24,1
Arizona,0.526,0.071,0.16,0.017,0.019,0.207,1
Arkansas,0.539,0.057,0.113,0.039,0.018,0.235,1
California,0.535,0.078,0.14,0.013,0.011,0.225,1
Colorado,0.59,0.093,0.109,0.013,0.028,0.167,1
Connecticut,0.666,0.054,0.144,0.018,0.007,0.111,1
Delaware,0.635,0.042,0.185,0.019,0.019,0.1,1
District of Columbia,0.618,0.075,0.227,N/A,0.008,0.065,1
Florida,0.505,0.078,0.115,0.021,0.019,0.262,1
Georgia,0.559,0.057,0.097,0.022,0.025,0.24,1
Hawaii,0.636,0.063,0.141,0.014,0.067,0.079,1
Idaho,0.558,0.091,0.092,0.023,0.014,0.222,1
Illinois,0.614,0.064,0.131,0.018,0.006,0.167,1
Indiana,0.618,0.053,0.106,0.022,0.008,0.192,1
Iowa,0.667,0.081,0.123,0.014,0.008,0.107,1
Kansas,0.638,0.072,0.071,0.023,0.026,0.17,1
Kentucky,0.579,0.053,0.134,0.033,0.02,0.182,1
Louisiana,0.517,0.063,0.145,0.021,0.016,0.237,1
Maine,0.574,0.051,0.203,0.028,0.019,0.125,1
Maryland,0.663,0.058,0.117,0.016,0.022,0.124,1
Massachusetts,0.672,0.058,0.212,0.013,0.004,0.041,1
Michigan,0.611,0.059,0.155,0.022,0.007,0.147,1
Minnesota,0.681,0.073,0.129,0.018,0.008,0.091,1
Mississippi,0.507,0.05,0.156,0.029,0.018,0.24,1
Missouri,0.6,0.064,0.111,0.026,0.014,0.185,1
Montana,0.54,0.101,0.089,0.018,0.02,0.233,1
Nebraska,0.648,0.089,0.077,0.012,0.02,0.154,1
Nevada,0.564,0.059,0.077,0.017,0.02,0.263,1
New Hampshire,0.701,0.048,0.071,0.027,0.01,0.143,1
New Jersey,0.663,0.053,0.104,0.016,0.004,0.161,1
New Mexico,0.496,0.056,0.158,0.023,0.019,0.248,1
New York,0.607,0.048,0.194,0.018,0.004,0.13,1
North Carolina,0.549,0.068,0.112,0.026,0.03,0.215,1
North Dakota,0.662,0.106,0.062,0.01,0.021,0.139,1
Ohio,0.628,0.053,0.142,0.023,0.008,0.146,1
Oklahoma,0.547,0.057,0.1,0.03,0.021,0.245,1
Oregon,0.579,0.079,0.123,0.019,0.011,0.189,1
Pennsylvania,0.653,0.065,0.134,0.021,0.006,0.121,1
Rhode Island,0.64,0.054,0.146,0.018,0.011,0.131,1
South Carolina,0.552,0.052,0.126,0.03,0.024,0.218,1
South Dakota,0.62,0.099,0.088,0.018,0.027,0.149,1
Tennessee,0.564,0.062,0.15,0.029,0.019,0.177,1
Texas,0.534,0.053,0.089,0.016,0.018,0.291,1
Utah,0.658,0.064,0.075,0.015,0.013,0.175,1
Vermont,0.626,0.071,0.216,0.015,N/A,0.065,1
Virginia,0.642,0.064,0.07,0.022,0.047,0.156,1
Washington,0.601,0.078,0.104,0.017,0.026,0.174,1
West Virginia,0.576,0.032,0.136,0.036,0.016,0.204,1
Wisconsin,0.659,0.064,0.144,0.016,0.008,0.11,1
Wyoming,0.571,0.081,0.095,0.012,0.028,0.214,1
Puerto Rico,0.337,0.099,0.451,0.032,0.006,0.075,1
