Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,0.592,0.093,0.173,0.021,0.015,0.106,1
Alabama,0.587,0.091,0.138,0.038,0.019,0.127,1
Alaska,0.548,0.052,0.149,0.013,0.059,0.179,1
Arizona,0.539,0.089,0.22,0.019,0.017,0.116,1
Arkansas,0.532,0.093,0.22,0.035,0.016,0.103,1
California,0.55,0.097,0.24,0.014,0.01,0.088,1
Colorado,0.6,0.104,0.171,0.015,0.024,0.085,1
Connecticut,0.639,0.083,0.194,0.017,0.007,0.059,1
Delaware,0.654,0.069,0.176,0.023,0.017,0.061,1
District of Columbia,0.602,0.086,0.26,0.008,0.008,0.036,1
Florida,0.509,0.145,0.136,0.024,0.02,0.166,1
Georgia,0.574,0.099,0.111,0.022,0.027,0.168,1
Hawaii,0.684,0.064,0.144,0.014,0.052,0.043,1
Idaho,0.577,0.137,0.105,0.02,0.014,0.147,1
Illinois,0.63,0.087,0.18,0.018,0.006,0.079,1
Indiana,0.637,0.077,0.154,0.025,0.008,0.099,1
Iowa,0.671,0.092,0.169,0.015,0.008,0.045,1
Kansas,0.653,0.104,0.09,0.019,0.025,0.108,1
Kentucky,0.56,0.066,0.263,0.039,0.017,0.055,1
Louisiana,0.534,0.096,0.2,0.024,0.013,0.132,1
Maine,0.593,0.108,0.172,0.019,0.018,0.09,1
Maryland,0.656,0.082,0.153,0.019,0.021,0.069,1
Massachusetts,0.651,0.069,0.237,0.012,0.005,0.026,1
Michigan,0.612,0.08,0.218,0.023,0.005,0.062,1
Minnesota,0.666,0.091,0.17,0.018,0.007,0.048,1
Mississippi,0.538,0.079,0.168,0.034,0.02,0.161,1
Missouri,0.628,0.105,0.101,0.035,0.014,0.118,1
Montana,0.558,0.132,0.17,0.017,0.024,0.099,1
Nebraska,0.662,0.114,0.081,0.013,0.017,0.113,1
Nevada,0.575,0.085,0.168,0.015,0.021,0.136,1
New Hampshire,0.695,0.077,0.112,0.025,0.009,0.082,1
New Jersey,0.662,0.074,0.146,0.021,0.004,0.093,1
New Mexico,0.475,0.076,0.294,0.024,0.026,0.105,1
New York,0.592,0.071,0.248,0.016,0.005,0.068,1
North Carolina,0.563,0.113,0.129,0.03,0.029,0.137,1
North Dakota,0.67,0.122,0.087,0.014,0.026,0.082,1
Ohio,0.631,0.067,0.206,0.026,0.008,0.063,1
Oklahoma,0.558,0.091,0.111,0.035,0.02,0.185,1
Oregon,0.571,0.106,0.22,0.02,0.008,0.076,1
Pennsylvania,0.637,0.09,0.179,0.024,0.005,0.064,1
Rhode Island,0.621,0.091,0.215,0.024,0.007,0.042,1
South Carolina,0.574,0.097,0.148,0.03,0.024,0.128,1
South Dakota,0.66,0.112,0.088,0.021,0.027,0.093,1
Tennessee,0.569,0.091,0.18,0.026,0.02,0.114,1
Texas,0.566,0.092,0.087,0.017,0.019,0.219,1
Utah,0.674,0.109,0.087,0.011,0.013,0.106,1
Vermont,0.615,0.08,0.249,0.015,N/A,0.037,1
Virginia,0.644,0.095,0.08,0.023,0.05,0.108,1
Washington,0.617,0.086,0.184,0.017,0.027,0.069,1
West Virginia,0.557,0.047,0.293,0.035,0.013,0.055,1
Wisconsin,0.669,0.091,0.152,0.017,0.009,0.062,1
Wyoming,0.633,0.107,0.095,0.013,0.03,0.122,1
Puerto Rico,0.307,0.099,0.482,0.04,0.004,0.068,1
